city,country,continent,securtiy_norm,cost_norm,cuisine_norm,entertainment_norm,culture_norm,nature_norm,environment_norm,nature2_norm,entertainment2_norm,met
Beijing,China,Asia,6.408004607,2.406989004,4.13528667,3.595997498,8.231046931,8.941798942,9.804755945,2.513170316,2.089928508,1
Shanghai,China,Asia,7.114886265,2.81668926,5.645505516,1.91369606,5.162454874,6.031746032,8.882352941,2.935229453,1.183944745,1
Taipei,China,Asia,9.055571552,3.773158608,3.917887502,0.38148843,1.299638989,4.603174603,6.236545682,1.625810774,1.690335502,1
Hong Kong,China,Asia,8.771955082,6.407591505,2.221016459,0.769230769,1.750902527,6.666666667,6.659574468,2.07893054,1.891744598,1
Shenzhen,China,Asia,6.164699107,2.553095346,1.068185929,0.737961226,0.523465704,2.433862434,8.143929912,2.326197509,0.603961686,1
Tokyo,Japan,Asia,8.711488627,10,10,2.820512821,10,10,3.266583229,10,0.485169976,1
Kyoto,Japan,Asia,10,8.227142642,3.91499367,0.318949343,3.483754513,3.756613757,3.370463079,4.891744572,0.373844873,1
Bangkok,Thailand,Asia,4.632882234,2.134357584,3.338759269,1.557223265,1.083032491,1.428571429,7.111389237,1.869423551,0.465969295,1
Chiang Mai,Thailand,Asia,6.77080334,0.890194306,0.295894375,0.118824265,0.144404332,1.322751323,7.723404255,0.011267091,9.595291896,0
Kuala Lumpur,Malaysia,Asia,1.566369133,1.333032083,0.953879544,0.306441526,0.288808664,0.952380952,7.325406758,0.373945613,1.804442668,0
Singapore,Singapore,Asia,9.321911892,7.858111161,3.173449087,1.394621639,1.010830325,4.338624339,2.523153942,1.108133622,2.343910862,0
New York,USA,North America,4.896343219,9.691218557,4.38307108,8.048780488,5.126353791,4.867724868,5.46057572,5.066841256,0.488917167,1
Los Angeles,USA,North America,3.455226029,6.360897726,3.087719298,2.757973734,2.093862816,3.015873016,5.808510638,3.480008526,0.457545788,1
Chicago,USA,North America,2.186870141,7.448410905,2.970157352,4.621638524,1.660649819,2.91005291,3.047559449,2.419988428,0.692351128,1
Miami,USA,North America,5.126691621,7.124566953,1.057334057,1.031894934,0.379061372,2.010582011,3.055068836,1.3879838,0.910017318,0
San Francisco,USA,North America,4.428448028,9.525530953,1.59377826,2.43902439,1.534296029,4.232804233,2.772215269,0.873351807,2.876103287,0
Las Vegas,USA,North America,3.743161532,6.588341618,3.173449087,4.071294559,0.776173285,2.275132275,4.444305382,0.290203721,4.269550695,0
Quebec City,Canada,North America,8.993665419,4.585027866,0.103816242,0.487804878,0.306859206,1.322751323,2.19649562,0.083437376,5.952529131,0
Toronto,Canada,North America,6.603800749,4.973640609,2.561765238,2.263914947,1.19133574,4.708994709,3.320400501,1.219890983,2.306038275,0
Vancouver,Canada,North America,6.4468759,5.428528393,0.892023874,1.025641026,0.541516245,2.222222222,1.128911139,0.447333963,2.960230386,0
Buenos Aires,Argentina,South America,2.948459545,3.48847718,1.166937963,1.957473421,2.454873646,2.751322751,5.630788486,3.300648619,0.442105949,1
Rio de Janerio,Brazil,South America,0.512525194,3.00798313,4.397540242,2.020012508,2.472924188,4.497354497,6.973717146,3.17884223,0.794292044,1
Santiago,Chile,South America,4.130434783,2.250338906,1.153553988,0.656660413,1.064981949,2.380952381,7.728410513,1.542068882,0.948992868,1
Bogota,Colombia,South America,2.578462424,0,0.345089528,0.650406504,0.505415162,1.216931217,7.309136421,2.021681537,0.359251226,1
Lima,Peru,South America,1.789519148,0.89621931,0.409115572,0.500312695,0.794223827,1.428571429,8.986232791,2.021681537,0.420910555,1
San Paulo,Brazil,South America,1.292830406,2.660039163,8.995116658,2.338961851,2.761732852,2.328042328,8.888610763,5.280002436,0.170441305,1
Florianopolis,Brazil,South America,3.456665707,1.799969875,1.04431181,0.125078174,0.36101083,2.857142857,4.209011264,0.100185755,10,0
Quito,Ecuador,South America,3.783472502,1.342069589,0.01953337,0.087554722,0.415162455,0.740740741,6.489361702,0.346843692,1.633544015,0
Natal,Brazil,South America,1.756406565,1.449013406,0.540061494,0,0,1.216931217,4.455569462,0.134900576,4.398244005,0
Cape Town,South Africa,Africa,1.360495249,0.266606417,0,0.250156348,0.415162455,1.216931217,2.982478098,0.712262858,1.19393584,0
London,UK,Europe,5.008638065,7.467992167,7.340206186,10,6.841155235,7.830687831,5.035043805,2.408416821,1.909718658,1
Edinburgh,UK,Europe,7.457529513,5.565597228,0.447458853,1.494684178,1.660649819,0.740740741,0,0.04080514,5.284835058,0
Paris,France,Europe,4.195220271,7.26464829,5.432808826,4.152595372,4.314079422,3.544973545,6.49436796,2.827126283,0.707775067,1
Marseille,France,Europe,2.936942125,4.276246423,0.315066016,0.281425891,0.162454874,0.529100529,6.158948686,0.301166296,1.513650876,0
Florence,Italy,Europe,7.641808235,8.701611689,0.527400977,0.731707317,2.25631769,0.582010582,3.66583229,0.000304516,6.392837947,0
Rome,Italy,Europe,3.803627987,5.321584576,3.781877374,4.740462789,6.083032491,3.544973545,6.342928661,0.651359664,3.20174627,0
Berlin,Germany,Europe,6.327382666,4.222021389,2.472418159,4.396497811,3.989169675,2.222222222,2.96620776,1.009165931,1.391310939,0
Frankfurt,Germany,Europe,6.035128131,5.993372496,0.447820582,0.894308943,0.451263538,0.317460317,2.659574468,0.578275831,0.646812873,0
Athens,Greece,Europe,4.401094155,3.413164633,0.822571894,0.775484678,1.696750903,0.37037037,6.315394243,1.01221109,0.362221248,0
Vienna,Austria,Europe,8.566081198,4.92845308,1.010309278,1.638524078,2.400722022,1.798941799,0.305381727,0.362069491,2.967838623,0
Istanbul,Turkey,Europe,4.497552548,1.283325802,4.328088262,3.958724203,5.866425993,2.91005291,6.214017522,2.630713481,0.62644165,1
Madrid,Spain,Europe,7.116325943,3.610483507,3.160065111,6.391494684,1.949458484,1.587301587,5.186483104,1.382197996,0.738015673,0
Barcelona,Spain,Europe,5.924272963,4.259677662,2.802315066,5.553470919,2.635379061,2.91005291,6.75844806,1.077682024,1.661211663,0
Budapest,Hungary,Europe,6.095594587,1.101069438,0.657261711,1.438398999,1.534296029,1.111111111,4.540675845,0.438198484,1.753437154,0
Krakow,Poland,Europe,7.195508206,0.376562735,0.092602641,0.775484678,0.83032491,0.423280423,6.389236546,0,5.514295611,0
Prague,Czech Republic,Europe,7.37834725,1.153788221,1.461023693,5.053158224,6.010830325,1.798941799,2.678347935,0.269801151,3.729029948,0
Sydney,Australia,Oceania,5.853728765,7.306823317,1.616567191,1.86366479,1.101083032,4.867724868,1.599499374,0.955875636,3.010602351,0
Brisbane,Australia,Oceania,6.461272675,6.455791535,1.068185929,0.556597874,0.288808664,2.91005291,0.710888611,0.34927982,4.557728128,0
Melbourne,Australia,Oceania,5.82781457,6.472360295,0.957858564,1.575984991,0.667870036,2.222222222,1.692115144,1.134626511,1.234438032,0
Auckland,New Zealand,Oceania,5.079182263,7.135110709,0.336046301,0.325203252,0,2.53968254,1.602002503,0.209811505,5.898314235,0
Cairo,Egypt,Africa,0,1.15228197,1.084102008,0.068792996,1.877256318,0,10,2.082584732,0,1
Dubai,United Arab Emirates,Asia,8.684134754,5.173971984,2.930005426,1.96372733,1.137184116,2.222222222,5.01126408,0.699168671,1.98753787,0
Amsterdam,Netherlands,Europe,7.123524331,6.261485163,0.881172002,2.132582864,2.635379061,1.375661376,2.015018773,0.630348062,1.477451138,0
